venue,hindex
j adolescent health,1
j adv mech des syst manuf,4
j adv transportation,2
j advertising,2
j aerosol sci,1
j aerosp comput inf commun,6
j aerosp eng,4
j affect disorders,1
j afr earth sci,1
j aging stud,1
j agr econ,1
j agr eng res,2
j agr food chem,1
j agr sci,2
j agric biol environ stat,1
j air transp manag,2
j air waste manage assoc,2
j aircraft,3
j algebra,2
j algebra appl,1
j allerg clin immunol,1
j alloys compounds,1
j am med dir assoc,2
j am soc echocardiogr,2
j am soc hypertens,1
j am water resour assoc,2
j amer acad child adolesc psy,1
j amer ceram soc,1
j amer coll cardiol,2
j amer dent assn,1
j amer geriat soc,1
j amer helicopter soc,2
j amer math soc,1
j amer med inform assoc,9
j amer oil chem soc,1
j amer plann assn,1
j amer soc inform sci,3
j amer soc mass spectrom,2
j amer soc nephrol,1
j amer statist assn,5
j anal appl pyrol,2
j anal at spectrom,1
j anal chem engl tr,1
j anat,1
j anim breed genet,1
j anim ecol,1
j anim vet adv,1
j anthropol archaeol,1
j antimicrob chemother,1
j anxiety disord,2
j appl anim res,1
j appl anim welf sci,1
j appl biobehav res,2
j appl biomed,1
j appl clin med phys,2
j appl cryst,1
j appl ecol,1
j appl econ,1
j appl econom,2
j appl genetics,1
j appl geophys,3
j appl mech,1
j appl meteorol,2
j appl meteorol climatol,2
j appl microbiol,1
j appl phycol,1
j appl phys,3
j appl physiol,1
j appl polym sci,2
j appl poultry res,1
j appl probab,3
j appl psychol,1
j appl soc psychol,1
j appl spectrosc,1
j appl stat,5
j appl toxicol,1
j applied dev psychology,1
j archaeol sci,4
j arid environ,2
j arthroplasty,1
j asia pac entomol,1
j asian archit build eng,1
j asian earth sci,2
j assist reprod genet,1
j asthma,1
j astronaut sci,2
j atmos ocean technol,3
j atmos sci,2
j atmos sol terr phys,2
j audio eng soc,1
j aust math soc,1
j autism dev disord,2
j autom method manag chem,1
j avian biology,1
j bacteriol,1
j bank finan,2
j behav decis making,1
j behav health serv res,1
j behav ther exp psychiat,1
j biochem biophys meth,1
j biogeogr,1
j biol chem,1
j biol eng,1
j biol phys,2
j biomech,4
j biomech eng,3
j biomed biotechnol,7
j biomed discov collaboration,2
j biomed eng,2
j biomed mater res part a,1
j biomed sci,1
j biomed sem,6
j biomol nmr,2
j biomol screen,3
j biomol struct dyn,1
j bionic eng,6
j biopharm stat,2
j biophotonics,1
j biosci bioeng,1
j biosciences,1
j biosoc sci,1
j biotechnol,3
j bone joint surg amer vol,1
j bone miner metab,1
j braz soc mech sci eng,5
j breast canc,1
j bridge eng,2
j broadcast electron media,2
j build phys,1
j bus,1
j bus bus mark,1
j bus econ manag,3
j bus econ stat,2
j bus ethics,4
j bus finan account,1
j bus ind mark,2
j bus logist,1
j bus psychol,1
j bus res,4
j bus tech commun,1
j bus venturing,1
j cancer res clin oncol,1
j cardiothorac surg,1
j cardiothorac vasc anesth,1
j cardiovasc magn reson,2
j catal,1
j cataract refract surg,1
j cell,1
j cell sci,2
j cent south univ technol,3
j ceramic soc jpn,1
j cereal sci,1
j cerebr blood flow metabol,1
j chem educ,1
j chem eng jpn,2
j chem inf model,5
j chem neuroanat,2
j chem technol biotechnol,1
j chem theory comput,3
j cheminf,5
j chemometr,3
j child adolesc psychopharm,1
j child fam stud,1
j child lang,3
j chin soc mech eng,1
j china univ geosci,1
j chinese inst chem engineers,1
j chromatogr a,1
j chromatogr b,1
j chromatogr sci,1
j civ eng manag,3
j clean prod,4
j climate,2
j clin anesth,1
j clin bioinformatics,3
j clin densitom,1
j clin epidemiol,3
j clin exp neuropsychol,1
j clin invest,1
j clin neurol,1
j clin neurophysiol,1
j clin neurosci,1
j clin nurs,1
j clin oncol,1
j clin pathol,2
j clin pharm ther,1
j clin psychiat,1
j clin virol,1
j clust sci,1
j coastal res,2
j cogn dev,1
j colloid interface sci,1
j comb chem,1
j commun disord,1
j commun technol electron,4
j comp ger linguist,1
j comp neurol,1
j comp physiol b,1
j comp psychol,1
j compos constr,1
j compos mater,1
j comput acoust,1
j comput aided mater des,1
j comput anal appl,1
j comput appl math,7
j comput assist tomogr,2
j comput civil eng,5
j comput graph stat,7
j comput math,2
j comput nonlinear dyn,3
j comput phys,5
j comput syst sci int engl tr,5
j comput theor nanosci,1
j conflict resolut,1
j constr eng manage asce,3
j constr psychol,1
j constr steel res,2
j consum aff,1
j consum psychol,2
j consum res,1
j contam hydrol,2
j contemp math anal armen aca,1
j control release,2
j cranio maxillofac surg,1
j creative behav,2
j crim justice,1
j crit care,1
j cross cult psychol,1
j cryst growth,1
j cult econ,1
j cult herit,5
j cyst fibros,1
j dairy res,1
j dairy sci,3
j deaf stud deaf educ,1
j dent,2
j dent res,1
j dent sci,1
j deriv,1
j dermatological sci,1
j dev enterpren,1
j dev phys disabilities,1
j develop econ,1
j develop stud,1
j diabetes complication,1
j differ equ appl,1
j differential equations,2
j disp technol,3
j disper sci tech,2
j doc,6
j dyn control syst,2
j dyn differ equ,1
j dyn syst meas contr,6
j earth sci,2
j earthqu eng,1
j east asian linguist,1
j econ,1
j econ behav organ,3
j econ educ,1
j econ manag strat,2
j econ manage strategy,1
j econ perspect,2
j econ policy reform,1
j econ psych,1
j econ surv,1
j econ theor,3
j econometrics,5
j educ behav stat,1
j educ comput res,2
j educ meas,1
j educ psychol,1
j educ res,1
j electroanal chem,2
j electrocardiol,2
j electroceram,1
j electromagnet wave applicat,1
j electromyograph kinesiol,3
j electron packaging,1
j electrostat,2
j emerg med,1
j emerg tech account,3
j empir financ,3
j endocrinol invest,1
j endodont,1
j endourol,1
j energ mater,1
j energ resour technol,1
j eng educ,1
j eng gas turb power t asme,2
j eng mater technol,1
j eng math,2
j eng mech asce,3
j eng technol manage,3
j eng thermophys,1
j engineering design,3
j environ econ manage,1
j environ eng asce,2
j environ eng geophys,1
j environ eng sci,1
j environ inform,1
j environ manage,4
j environ monit,1
j environ plan manag,1
j environ pol plan,1
j environ psychol,2
j environ qual,1
j environ radioact,2
j environ sci china,1
j environ sci health a,2
j enzym inhib med chem,1
j epidemiol community health,1
j ethn migr stud,1
j ethnopharmacol,1
j ethol,1
j eur acad dermatol venereol,1
j eur ceram soc,1
j eur econ assoc,1
j eur opt soc rapid publ,2
j eval clin pract,2
j evol biochem physl engl tr,1
j evol econ,1
j evol equ,1
j evolution biol,1
j exp bot,1
j exp educ,1
j exp mar biol ecol,1
j exp nanosci,1
j exp psychol anim behav proc,1
j exp psychol applied,2
j exp psychol gen,4
j exp psychol hum percep perf,4
j exp psychol learn mem cogn,2
j exp soc psychol,1
j expos anal environ epidem,1
j family psychology,1
j field ornithol,1
j finan,1
j finan econ,1
j financ mark,1
j financ res,1
j fish biol,1
j fixed point theory appl,1
j fluency disord,1
j fluid eng,1
j fluid mech,2
j fluid structure,1
j fluoresc,2
j food compos anal,1
j food eng,5
j food lipids,1
j food process eng,1
j food process preserv,1
j food safety,1
j food sci,1
j food sci technol mysore,1
j foot ankle res,1
j for econ,1
j forecasting,4
j forensic psychol pract,1
j forensic sci,2
j fr lang stud,1
j fr ophtalmol,1
j franklin inst eng appl math,13
j funct anal,1
j fusion energ,2
j futures markets,2
j gambl stud,2
j gastroenterol hepatol,1
j gastroenterology,1
j gastrointest surg,1
j gen appl microbiol tokyo,1
j gen physiol,1
j gen psychol,1
j gen virol,1
j genet,1
j genet genomics,1
j geochem explor,2
j geodesy,1
j geodynamics,1
j geogr sci,2
j geol soc india,2
j geom anal,1
j geom physics,1
j geophys eng,1
j geotech geoenviron eng,2
j gerontol nurs,1
j gerontol ser a biol sci med,1
j gerontol ser b psychol sci,1
j government information,1
j great lakes res,1
j hand surg am,1
j hand ther,1
j happiness stud,1
j hazard mater,3
j headache pain,1
j health commun,2
j health serv res policy,1
j heart lung transplant,1
j heat transfer,1
j hematol oncol,1
j hepatol,1
j hered,1
j hosp infect,1
j hosp leis sport tour educ,1
j hosp med,1
j hospit tourism res,1
j hous econ,1
j huazhong univ sci tech med,1
j hum evol,2
j hum genet,1
j hum kinet,1
j hydraul eng asce,2
j hydraul res,1
j hydrodyn,1
j hydroinform,2
j hydrol,7
j hydrol eng,4
j hydrol hydromech,2
j hydrometeorol,2
j hypertension,1
j imaging sci technol,4
j immunoass immunochem,1
j immunol,3
j immunol method,2
j incl phenom macrocycl chem,1
j ind ecol,1
j ind eng chem,1
j ind manag optim,4
j ind microbiol biotechnol,1
j ind text,1
j inequal appl,5
j infec dis,1
j infection,1
j inform technol,3
j infrared millim terahertz w,3
j infrastruct syst,2
j inherit metab dis,1
j insect behav,1
j insect physiol,1
j insect sci,2
j instrum,2
j int account res,1
j int aids soc,1
j int bus stud,1
j int dev,1
j int econ,2
j int marketing,1
j int money finan,2
j int phon assoc,1
j integr neurosci,3
j integr plant biol,1
j intel mat syst struct,2
j intell manuf,9
j intell transport syst,3
j intellect dev disabil,1
j intellect disabil res,1
j interact mark,3
j invertebr pathol,1
j iron steel res int,2
j irrig drain eng asce,2
j jpn pet inst,1
j korean acad nurs,1
j korean astron soc,1
j korean math soc,2
j korean med assoc,1
j korean med sci,1
j korean surg soc,1
j labor res,1
j lang soc psychol,1
j laser appl,1
j laser micro nanoeng,1
j learn disabil,1
j learn sci,5
j legal med,1
j leukocyte biol,1
j lightwave technol,3
j linguist,3
j lipid res,1
j liposome res,1
j liq chromatogr relat techno,1
j lit res,1
j logic program,13
j long term eff med implant,1
j loss prevent proc ind,3
j low freq noise vib act cont,2
j low temp phys,1
j magn magn mater,1
j magn reson,2
j magn reson imaging,2
j mamm evol,1
j mammal,1
j manag account res,2
j manag organ,1
j manag psychol,1
j manage eng,2
j manage inform syst,7
j manage stud oxford,1
j manip physiol ther,1
j manuf sci eng,3
j manuf syst,6
j maps,1
j mar sci technol,3
j marine syst,2
j market educ,1
j market res chicago,2
j marketing,2
j mater chem,1
j mater civil eng,2
j mater eng perform,2
j mater process technol,3
j mater res,1
j mater sci,1
j mater sci mater electron,1
j mater sci mater med,1
j math anal appl,5
j math biol,2
j math econ,3
j math music,1
j math phys ny,1
j math psychol,8
j math pure appl,1
j math sociol,1
j mech behav biomed mater,2
j mech design,6
j mech mater struct,1
j mech med biol,2
j mech phys solids,1
j mech sci technol,7
j med chem,1
j med eng tech,3
j med entomol,1
j med genet,1
j med internet res,3
j med microbiol,1
j med phil,1
j med ultrason,2
j media econ,1
j mem lang,3
j membrane biol,1
j membrane sci,2
j ment heal,1
j meteorol soc jpn,1
j microbiol meth,3
j microelectromechanical syst,4
j microencapsul,1
j micromechanic microengineer,3
j min sci engl tr,1
j mol biol,2
j mol cell cardiol,1
j mol evol,1
j mol graph model,3
j mol liq,2
j mol model,2
j mol neurosci,1
j mol recognit,1
j mol spectrosc,1
j mol struc theochem,1
j mol struct,2
j mollus stud,1
j money credit banking,1
j moral educ,1
j morphol,1
j motor behav,3
j mt sci,2
j muscle res cell motil,1
j n amer benthol soc,1
j nanobiotechnol,1
j nanomater,2
j nanopart res,2
j nanophotonics,1
j nat cancer inst,1
j nat conserv,2
j nat med,1
j natl sci found sri lanka,2
j natur hist,1
j navig,2
j neural eng,6
j neural transm,2
j neuro oncol,1
j neurobiol,1
j neurochem,1
j neurodev disord,1
j neuroendocrinol,1
j neuroeng rehabil,6
j neurogenet,1
j neuroimaging,1
j neuroimmune pharm,1
j neuroimmunol,2
j neuroinflamm,1
j neurol,1
j neurol neurosurg psychiat,1
j neurol sci,2
j neurolinguist,2
j neurophysiol,6
j neuropsychol,2
j neuroradiol,1
j neurosci,5
j neurosci meth,8
j neurosci res,1
j neurotrauma,1
j neurovirology,1
j non cryst solids,1
j nondestruct eval,3
j nonlinear math phys,1
j nonlinear sci,3
j nonparametr stat,2
j nonverbal behav,3
j nucl mater,2
j nucl med,2
j nucl sci technol,2
j nuclear cardiology,2
j nutr,1
j nutr educ behav,1
j nutr health aging,2
j obstet gynaecol res,1
j occup environ med,1
j occup med toxicol,1
j occup organ psychol,1
j occup rehabil,1
j oceanogr,1
j of design research,2
j offshore mech arctic eng,1
j oper manag,2
j oper res soc,9
j opt technol eng tr,3
j optimiz theor appl,5
j oral maxillofac surg,1
j organ behav,2
j organ change manage,1
j organ comput electron comme,4
j ornithol,1
j orthop sport phys therapy,1
j orthop surg res,1
j orthopaed res,1
j ovarian res,1
j pain,1
j pain symptom manage,1
j paleolimnol,1
j paleontol,1
j parasitol,1
j parent enter nutr,1
j pathol,1
j pediat,1
j pediat psychol,1
j pediat surg,1
j pediatr,1
j perinatol,1
j periodontol,1
j peripher nerv syst,1
j personality,1
j pet sci engineering,4
j petrol geol,2
j pharm sci,2
j pharmaceut biomed anal,2
j pharmacok biopharm,1
j pharmacokinet pharmacodyn,2
j pharmacol exp ther,2
j pharmacol toxicol method,1
j phase equilib,1
j phase equilib diffus,1
j phil sport,1
j phonetics,3
j photochem photobiol b biol,1
j phycol,1
j phys a math gen,3
j phys chem a,1
j phys chem b,2
j phys chem c,2
j phys chem lett,1
j phys chem solids,1
j phys condens matter,1
j phys d appl phys,2
j phys iv,1
j phys soc jpn,2
j phys ther sci,1
j physiol anthropol,1
j physiol london,2
j physiol sci,1
j physiology paris,7
j plant ecolo,1
j plant nutr,1
j plant nutr soil sci,1
j plant res,1
j plasma phys,1
j plast film sheeting,1
j policy modeling,2
j polym res,1
j polym sci b polym phys,1
j porous mat,1
j portfolio manage,1
j post keynesian econ,1
j power sources,3
j pragmatics,6
j pressure vessel technol,1
j process control,7
j prod anal,1
j prod innovat manage,2
j prof issue eng educ pract,1
j propul power,2
j prosthet dent,1
j proteome res,1
j proteomics,2
j psychiatr ment health nurs,1
j psychiatr neurosci,1
j psycholinguist res,3
j psychopharmacol,1
j psychophysiol,1
j psychosom obstet gynecol,1
j psychosom res,1
j public adm res theory,1
j public econ,1
j public econ theory,1
j public health,1
j public health dent,1
j public health policy,1
j public relat res,2
j pure appl alg,1
j quant anal sports,2
j quant criminol,1
j quant spectrosc radiat,3
j quaternary sci,1
j r soc interface,7
j radiat res,1
j radioanal nucl chem,1
j raman spectrosc,1
j real estate financ econ,1
j reg sci,1
j regul econ,1
j rehabil med,1
j rehabil res dev,3
j relig health,1
j res adolesce,1
j res natl inst stand technol,1
j res personal,2
j res sci teach,2
j retail,2
j rheumatol,1
j risk ins,1
j risk res,2
j risk uncertainty,1
j robotic syst,6
j roy anthropol inst,1
j roy soc med,1
j roy stat soc ser c appl,2
j roy statist soc ser a stat,2
j roy statist soc ser d stat,1
j rural stud,1
j russ laser res,1
j s afr stud,1
j s amer earth sci,1
j safety res,3
j sch psychol,1
j sci educ technol,1
j sci food agr,2
j sci med sport,3
j sea res,2
j second lang writ,1
j seismol,2
j semant,3
j sens stud,1
j sep sci,1
j serb chem soc,1
j serv manage,2
j serv mark,1
j serv res,1
j serv sci manag,2
j shellfish res,1
j shoulder elbow surg,1
j sleep res,1
j small bus management,1
j soc clin psychol,1
j soc inf disp,3
j soc psychol,1
j soc serv res,1
j socioling,1
j soil water conserv,1
j soils sediments,1
j sol energy eng,2
j sol gel sci technol,2
j solid state electrochem,1
j sound vib,5
j spacecraft rocket,2
j spat sci,3
j speech lang hear res,2
j sport sci,2
j stat comput sim,3
j stat mech theory exp,3
j stat softw,6
j statist phys,5
j statist plan infer,6
j steroid biochem mol biol,1
j stored prod res,1
j strategic inform syst,3
j stroke cerebrovasc dis,1
j struct biol,6
j struct eng asce,1
j struct geol,2
j supercond nov magn,1
j supercrit fluid,3
j surf investig x ray synchro,1
j surg educ,1
j surg res,1
j surv eng asce,2
j sustain tour,1
j sustainable agr,1
j syst chem,1
j syst eng electron,5
j syst sci complex,5
j syst sci syst eng,5
j taiwan inst chem eng,4
j tech manag innovat,1
j technol transfer,2
j telemed telecare,1
j terramech,3
j test eval,3
j texture stud,1
j theor biol,5
j theor comput chem,1
j theor probability,1
j theor soc behav,1
j therm anal calorim,2
j therm biol,1
j therm sci,1
j therm spray technol,2
j thermal stresses,1
j thorac cardiovasc surg,1
j thorac oncol,1
j thromb haemost,1
j time ser anal,2
j tissue eng regen med,1
j toxicol environ health pt a,1
j toxicol environ health pt b,1
j transl med,1
j transp eng asce,3
j trauma,1
j travel res,1
j tribol trans asme,1
j turbomach t asme,1
j turbul,1
j ucs,8
j ultrasound med,2
j univ sci technol beijing,1
j urban econ,1
j urban plan dev asce,2
j urban technol,1
j urol,2
j vac sci technol a,1
j vasc interven radiol,1
j vasc surg,1
j veg sci,3
j vet behav clin appl res,1
j vet diagn invest,1
j vet intern med,1
j vet med educ,1
j vib control,3
j viral hepatitis,1
j virol,2
j virol meth,1
j vis,2
j vision,13
j vlsi signal process syst s,3
j vocat behav,1
j voice,3
j volcanol geotherm res,3
j volcanol seismol,1
j water resour plan man asce,3
j water supply res technol aq,1
j waterw port coast oc asce,1
j wildlife dis,1
j wildlife manage,1
j wind eng ind aerodyn,2
j world bus,1
j x ray sci technol,1
j youth adolescence,1
j youth stud,1
j zhejiang univ sci b,2
j zool,1
j3ea,6
jacc cardiovascular imaging,1
jaciii,3
jacm,15
jahresbericht der deutschen mathematiker vereinigung,1
jaids,1
jair,50
jais,1
jal,8
jama,1
jama ophthalmology,1
jancl,11
japanese dental science review,1
japanese journal of animal psychology,1
japanese journal of applied statistics,1
japanese journal of multiphase flow,1
japanese journal of sport psychology,1
jar,32
jaro,2
jas,1
jasa,7
jasis,10
jasss,5
jat,4
jbcb,4
jbcs,10
jbi,13
jbis j br interplanet soc,2
jbmr,1
jbs,3
jcal,3
jcamd,3
jcap,1
jcb,5
jcc,4
jcd,1
jcdl,8
jcisd,1
jcise,5
jcit,6
jckbse,2
jcm,2
jcmc,2
jcn,2
jco,5
jcp,8
jcs,5
jcsc,4
jcss,12
jcst,15
jct,2
jda,4
jdim,4
jdiq,5
jdm,3
jeab,1
jei,10
jetai,31
jetc,4
jetcas,2
jetp letters,1
jflp,1
jfp,4
jfr,14
jgaa,2
jhep,2
jifs,11
jiis,15
jikm,4
jilp,1
jilt,1
jips,5
jirs,17
jise,8
jissec,1
jistem journal of information systems and technology management,2
jite,1
jlp,4
jmiv,20
jmlr,50
jmm,8
jmma,6
jms,1
jnca,9
jnci monographs,1
jnopm,1
jns,1
jnsm,4
jnw,5
joc,1
jodi,2
jodl,6
jods,8
joho chishiki gakkaishi,1
join,1
joint bone spine,1
jolli,9
jolpe,1
jom,2
joop,2
josa a,11
josa b,1
journal de physique,1
journal for economic forecasting,1
journal for research in mathematics education,1
journal for the study of judaism,1
journal in computer virology,3
journal of accounting education,1
journal of accounting organizational change,1
journal of acupuncture and meridian studies,1
journal of advanced manufacturing systems,2
journal of advanced research,3
journal of advances in information technology,1
journal of advances in management research,1
journal of adventure education outdoor learning,1
journal of advertising research,3
journal of aerospace technology and management,1
journal of aesthetics and art criticism,1
journal of african business,1
journal of african cultural studies,1
journal of agricultural science and technology,2
journal of algorithms computational technology,3
journal of alzheimer s disease,1
journal of ambient intelligence and humanized computing,8
journal of animal science and technology,1
journal of antivirals antiretrovirals,1
journal of applied analysis,1
journal of applied and industrial mathematics,2
journal of applied aquaculture,1
journal of applied fire science,1
journal of applied geodesy,2
journal of applied linguistics,1
journal of applied mathematics,12
journal of applied mathematics and computing,5
journal of applied mechanics,2
journal of applied remote sensing,5
journal of applied research and technology,6
journal of applied school psychology,1
journal of applied sciences,5
journal of applied security research,2
journal of archaeological method and theory,1
journal of archaeological research,1
journal of architectural education,1
journal of architectural engineering,1
journal of architecture and planning (transactions of aij),2
journal of arid land,1
journal of artificial evolution and applications,4
journal of artificial intelligence,3
journal of asia business studies,1
journal of asia pacific business,1
journal of asian electric vehicles,1
journal of assistive technologies,2
journal of astm international,2
journal of astronomy and space sciences,1
journal of atmospheric ocean science,1
journal of automatic control,2
journal of bamboo and rattan,1
journal of behavioral education,1
journal of behavioral finance,1
journal of bioeconomics,1
journal of biological dynamics,1
journal of biological physics and chemistry,1
journal of biological sciences,1
journal of biomechanical science and engineering,2
journal of biomedical science and engineering,4
journal of biomimetics biomaterials and tissue engineering,1
journal of biophysical chemistry,1
journal of bisexuality,1
journal of bodywork and movement therapies,1
journal of brand management,2
journal of breath research,2
journal of building performance simulation,2
journal of business strategy,1
journal of cardiothoracic renal research,1
journal of cardiovascular computed tomography,1
journal of central european agriculture,1
journal of chemical biology,1
journal of chemical health and safety,1
journal of china tourism research,1
journal of china university of mining and technology,2
journal of chinese economic and business studies,1
journal of chinese entrepreneurship,1
journal of chinese integrative medicine,1
journal of chinese language and computing,2
journal of chinese political science,1
journal of chiropractic medicine,1
journal of classification,5
journal of coal science and engineering (china),2
journal of coastal conservation,1
journal of coatings technology and research,1
journal of cognition and culture,1
journal of cognitive engineering and decision making,2
journal of college student retention research theory and practice,1
journal of communication management,1
journal of community practice,1
journal of complexity,5
journal of computational electronics,4
journal of computational geometry,1
journal of computational science,6
journal of computational science and technology,2
journal of computer aided chemistry,1
journal of computer aided design computer graphics,2
journal of computer applications,4
journal of computer chemistry japan,1
journal of computer information systems,2
journal of computer science,8
journal of computer science systems biology,2
journal of computing in higher education,3
journal of computing sciences in colleges,2
journal of consumer behaviour,2
journal of consumer marketing,2
journal of consumer policy,1
journal of contemporary accounting economics,1
journal of contingencies and crisis management,1
journal of continuing higher education,1
journal of control science and engineering,6
journal of control theory and applications,8
journal of convention event tourism,1
journal of convex analysis,1
journal of corporate real estate,1
journal of cosmetic dermatology,1
journal of counseling development,1
journal of culinary science technology,1
journal of customer behaviour,1
journal of decision systems,7
journal of defense modeling and simulation applications methodology technology,3
journal of dermatological treatment,1
journal of design and manufacturing automation,1
journal of diagnostic medical sonography,2
journal of digital asset management,1
journal of digital forensic practice,1
journal of digital imaging,6
journal of direct data and digital marketing practice,2
journal of direct marketing,1
journal of e government,1
journal of earth system science,2
journal of east asian economic integration,1
journal of echocardiography,1
journal of economic interaction and coordination,1
journal of economic methodology,1
journal of economic studies,1
journal of economics and business,1
journal of economics and finance,1
journal of education for business,2
journal of education for library and information science,1
journal of education for students placed at risk (jespar),1
journal of education for teaching,1
journal of educational administration,1
journal of educational media,1
journal of educational technology systems,2
journal of elections public opinion parties,1
journal of electrical and computer engineering,8
journal of electrical engineering technology,7
journal of electromagnetic analysis and applications,1
journal of electronic commerce in organizations,2
journal of electronic publishing,1
journal of electronic resources in medical libraries,1
journal of electronic testing,3
journal of electronics (china),7
journal of electronics information technology,4
journal of electronics manufacturing,2
journal of elementary science education,1
journal of embedded computing,2
journal of emdr practice and research,1
journal of emerging technologies in web intelligence,4
journal of empirical legal studies,1
journal of energy,1
journal of engineering and applied sciences,1
journal of engineering for industry,2
journal of english for academic purposes,1
journal of enterprise information management,5
journal of enterprising culture,1
journal of entrepreneurial finance,1
journal of environment and engineering,1
journal of environmental assessment policy and management,1
journal of environmental health science and engineering,2
journal of environmental protection,1
journal of environmental science and technology,1
journal of environmental systems,2
journal of euromarketing,1
journal of european industrial training,1
journal of evidence based dental practice,1
journal of experimental criminology,1
journal of facilities management,1
journal of failure analysis and prevention,2
journal of family business strategy,1
journal of fermentation and bioengineering,2
journal of financial crime,1
journal of financial economic policy,1
journal of financial management of property and construction,1
journal of financial regulation and compliance,1
journal of financial services marketing,2
journal of financial stability,1
journal of fisheries and aquatic science,1
journal of fisheriessciences com,1
journal of fixed income,1
journal of flood risk management,1
journal of flow visualization and image processing,1
journal of fluid machinery,1
journal of fluid science and technology,1
journal of food and drug analysis,1
journal of food products marketing,1
journal of food protection,1
journal of foodservice,1
journal of foodservice business research,1
journal of forest research,1
journal of forestry research,2
journal of formalized reasoning,1
journal of function spaces,1
journal of functional foods,1
journal of further and higher education,1
journal of geographic information system,3
journal of geographical systems,3
journal of geometric mechanics,1
journal of geometry,1
journal of geophysical research,4
journal of geotechnical engineering,1
journal of ginseng research,1
journal of global information management,3
journal of global information technology management,2
journal of global marketing,1
journal of global optimization,7
journal of global positioning systems,1
journal of health organisation and management,1
journal of healthcare engineering,2
journal of healthcare risk management,1
journal of high technology management research,3
journal of higher education policy and management,1
journal of hospitality and tourism management,1
journal of hospitality and tourism technology,1
journal of hospitality marketing management,2
journal of housing and the built environment,1
journal of human resource costing accounting,1
journal of human sport and exercise,1
journal of hydro environment research,1
journal of ichthyology,1
journal of image guided surgery,2
journal of immigrant and minority health,1
journal of indian business research,2
journal of indian philosophy,1
journal of individual differences,1
journal of industrial engineering and management,3
journal of infection and public health,1
journal of information communication and ethics in society,1
journal of information processing,8
journal of information processing and management,2
journal of information science,7
journal of information security,2
journal of information systems,5
journal of information technology politics,3
journal of information technology research,4
journal of informetrics,5
journal of innovative optical health sciences,3
journal of instructional development,1
journal of integrative bioinformatics,1
journal of integrative medicine,1
journal of intellectual capital,1
journal of intercultural communication research,1
journal of interior design,1
journal of international commercial law and technology,1
journal of international consumer marketing,2
journal of international entrepreneurship,1
journal of international financial markets institutions and money,2
journal of international food agribusiness marketing,1
journal of international medical research,1
journal of internet commerce,3
journal of internet services and applications,4
journal of internet technology,1
journal of investment management,1
journal of islamic accounting and business research,1
journal of islamic marketing,1
journal of japan society of hydrology water resources,1
journal of king saud university science,3
journal of konbin,2
journal of korea water resources association,1
journal of korean powder metallurgy institute,1
journal of korean society of medical informatics,2
journal of laboratory automation,2
journal of land use science,1
journal of language teaching and research,1
journal of library administration,2
journal of library metadata,1
journal of location based services,2
journal of machinery manufacture and reliability,1
journal of macromarketing,1
journal of macromolecular science part a,1
journal of macromolecular science part b,1
journal of management development,1
journal of management governance,1
journal of management history,1
journal of management in medicine,1
journal of manufacturing processes,3
journal of manufacturing technology management,3
journal of maritime archaeology,1
journal of marketing communications,3
journal of marketing for higher education,1
journal of marketing management,3
journal of mathematical cryptology,1
journal of mathematics and statistics,3
journal of mathematics and the arts,1
journal of mathematics teacher education,1
journal of maxillofacial surgery,1
journal of mechanical systems for transportation and logistics,1
journal of mechanical working technology,2
journal of mechanisms and robotics,4
journal of media and religion,1
journal of media business studies,1
journal of media psychology,1
journal of medical and biological engineering,3
journal of medical economics,1
journal of medical imaging and radiation sciences,2
journal of medical marketing,1
journal of medical sciences(faisalabad),1
journal of medical speech language pathology,1
journal of medical systems,9
journal of medical toxicology,1
journal of medical ultrasound,2
journal of men s health,2
journal of micro nano mechatronics,4
journal of micro nanolithography mems and moems,2
journal of microbiology biology education,1
journal of microcomputer applications,2
journal of micromechatronics,2
journal of military ethics,1
journal of modelling in management,2
journal of modern applied statistical methods,1
journal of modern physics,1
journal of molecular graphics,1
journal of money laundering control,1
journal of multi criteria decision analysis,4
journal of multilingual communication disorders,1
journal of nanotechnology,1
journal of nanotechnology in engineering and medicine,1
journal of natural disaster science,1
journal of natural resources policy research,1
journal of naval architecture and marine engineering,1
journal of neurointerventional surgery,1
journal of neuroscience psychology and economics,1
journal of neurotherapy,1
journal of new music research,6
journal of next generation information technology,1
journal of nonprofit public sector marketing,2
journal of nuclear medicine technology,1
journal of nucleic acids,1
journal of nursing management,1
journal of nutritional environmental medicine,1
journal of obesity,1
journal of occupational accidents,1
journal of ocean university of china,1
journal of official statistics,1
journal of oleo science,1
journal of oncology,1
journal of ophthalmology,1
journal of optics,2
journal of organizational and end user computing,2
journal of pathology informatics,2
journal of pediatric nursing,1
journal of perianesthesia nursing,1
journal of personal selling sales management,2
journal of pharmaceutical innovation,1
journal of pharmaceutical investigation,1
journal of pharmaceutical marketing management,1
journal of philosophical logic,10
journal of physical chemistry,1
journal of physics conference series,4
journal of physiotherapy,1
journal of pipeline systems engineering and practice,1
journal of plasma and fusion research,1
journal of police and criminal psychology,1
journal of political marketing,1
journal of polymer engineering,1
journal of polytechnic,1
journal of population research,1
journal of positive psychology,1
journal of prevention intervention in the community,1
journal of private equity,1
journal of probability and statistics,1
journal of product brand management,2
journal of promotion management,3
journal of property investment finance,1
journal of property research,2
journal of property valuation and investment,2
